Mstar = 8.9948e+32 g 
Rstar = 32271200000.0 cm 
Twind = 4500000.0 K 
Mdot = 1.26121179257e+11 g/s 
cs = 27271094.1264 cm/s
rs = 40335015185.2 cm
R (cm)    density (g/cm^3)    Vr (cm/s)   
16.6326564651    4.04925783002e-22    86029869.3206    
16.7436040113    3.99029409455e-22    86147987.2198    
16.8545515575    3.93258332319e-22    86265191.7595    
16.9654991036    3.87609065832e-22    86381496.1063    
17.0764466498    3.82078243251e-22    86496913.2639    
17.187394196    3.76662612767e-22    86611455.9113    
17.2983417422    3.71359034282e-22    86725136.0769    
17.4092892884    3.66164470092e-22    86837966.2769    
17.5202368345    3.61075987024e-22    86949958.0524    
17.6311843807    3.56090747559e-22    87061123.1068    
17.7421319269    3.51206008114e-22    87171472.8185    
17.8530794731    3.46419115384e-22    87281018.2407    
17.9640270193    3.41727501565e-22    87389770.4268    
18.0749745654    3.37128682366e-22    87497740.105    
18.1859221116    3.32620253185e-22    87604937.8409    
18.2968696578    3.28199887314e-22    87711373.7125    
18.407817204    3.23865331174e-22    87817057.7978    
18.5187647501    3.19614401602e-22    87922000.1748    
18.6297122963    3.15444984417e-22    88026210.5964    
18.7406598425    3.11355031858e-22    88129698.4904    
18.8516073887    3.07342559556e-22    88232473.1222    
18.9625549349    3.03405643663e-22    88334543.7568    
19.073502481    2.99542419225e-22    88435919.4971    
19.1844500272    2.95751079142e-22    88536608.9581    
19.2953975734    2.92029869914e-22    88636620.9174    
19.4063451196    2.88377090818e-22    88735963.9901    
19.5172926658    2.84791092559e-22    88834646.4661    
19.6282402119    2.81270274924e-22    88932676.4729    
19.7391877581    2.77813084551e-22    89030062.1379    
19.8501353043    2.74418014308e-22    89126811.2634    
19.9610828505    2.71083600197e-22    89222931.8143    
20.0720303967    2.67808421841e-22    89318431.2678    
20.1829779428    2.64591099512e-22    89413317.1012    
20.293925489    2.61430292284e-22    89507596.9542    
20.4048730352    2.58324699557e-22    89601277.6538    
20.5158205814    2.55273055468e-22    89694366.6772    
20.6267681276    2.52274131908e-22    89786870.689    
20.7377156737    2.49326733597e-22    89878796.8413    
20.8486632199    2.46429699713e-22    89970151.7986    
